city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Turek,52.0167,18.5000,Poland,PL,Wielkopolskie,minor,,
Złotów,53.3603,17.0408,Poland,PL,Wielkopolskie,minor,,
Tomaszów Mazowiecki,51.5314,20.0089,Poland,PL,Łódzkie,minor,,
Tomaszów Lubelski,50.4500,23.4167,Poland,PL,Lubelskie,minor,,
Nowy Sącz,49.6239,20.6972,Poland,PL,Małopolskie,minor,,
Sochaczew,52.2250,20.2333,Poland,PL,Mazowieckie,minor,,
Piekary Śląskie,50.3833,18.9500,Poland,PL,Śląskie,minor,,
Stargard Szczeciński,53.3387,15.0448,Poland,PL,Zachodniopomorskie,minor,,
Lipno,52.8452,19.1826,Poland,PL,Kujawsko-Pomorskie,minor,,
Zgierz,51.8564,19.4061,Poland,PL,Łódzkie,minor,,
Lubań,51.1167,15.3000,Poland,PL,Dolnośląskie,minor,,
Nowy Dwór Mazowiecki,52.4333,20.6833,Poland,PL,Mazowieckie,minor,,
Zambrów,52.9853,22.2422,Poland,PL,Podlaskie,minor,,
Szczecinek,53.7079,16.6994,Poland,PL,Zachodniopomorskie,minor,,
Sejny,54.1000,23.3500,Poland,PL,Podlaskie,minor,,
Oława,50.9333,17.3000,Poland,PL,Dolnośląskie,minor,,
Czarnków,52.9000,16.5667,Poland,PL,Wielkopolskie,minor,,
Lidzbark Warmiński,54.1167,20.5833,Poland,PL,Warmińsko-Mazurskie,minor,,
Kamienna Góra,50.7833,16.0333,Poland,PL,Dolnośląskie,minor,,
Słupca,52.3000,17.8667,Poland,PL,Wielkopolskie,minor,,
Jastrzębie-Zdrój,49.9500,18.5833,Poland,PL,Śląskie,minor,,
Krosno,49.6887,21.7706,Poland,PL,Podkarpackie,minor,,
Skarżysko-Kamienna,51.1167,20.9167,Poland,PL,Świętokrzyskie,minor,,
Sanok,49.5500,22.2167,Poland,PL,Podkarpackie,minor,,
Radziejów,52.6333,18.5167,Poland,PL,Kujawsko-Pomorskie,minor,,
